iter	Passed	Remaining
0	65	13071
1	70	6949
2	74	4901
3	79	3903
4	83	3245
5	86	2800
6	90	2481
7	93	2232
8	95	2032
9	98	1876
10	101	1743
11	104	1636
12	107	1545
13	110	1462
14	112	1393
15	115	1333
16	118	1277
17	121	1230
18	124	1186
19	127	1146
20	130	1110
21	133	1076
22	136	1047
23	138	1018
24	142	997
25	147	987
26	153	986
27	157	966
28	160	947
29	163	929
30	167	912
31	170	896
32	173	880
33	177	868
34	185	873
35	202	921
36	207	912
37	224	957
38	246	1017
39	266	1066
40	288	1117
41	312	1175
42	315	1153
43	318	1130
44	321	1108
45	329	1101
46	339	1106
47	349	1108
48	359	1106
49	361	1085
50	364	1066
51	367	1047
52	370	1028
53	373	1009
54	376	992
55	379	975
56	382	959
57	384	942
58	387	926
59	390	910
60	393	896
61	398	886
62	402	875
63	405	861
64	408	848
65	411	834
66	414	821
67	416	808
68	419	796
69	425	789
70	428	778
71	431	767
72	435	757
73	438	747
74	442	737
75	448	731
76	456	729
77	472	738
78	489	749
79	498	747
80	510	750
81	516	742
82	521	735
83	527	727
84	533	721
85	536	711
86	539	701
87	543	691
88	548	684
89	552	675
90	555	665
91	558	656
92	562	647
93	565	638
94	572	632
95	578	627
96	586	622
97	592	616
98	596	608
99	601	601
100	608	596
101	613	589
102	619	583
103	624	576
104	631	571
105	638	566
106	645	560
107	652	555
108	659	550
109	665	544
110	669	536
111	674	529
112	680	523
113	689	520
114	695	514
115	700	507
116	704	500
117	710	493
118	715	486
119	719	479
120	724	472
121	733	468
122	741	464
123	747	458
124	753	451
125	759	446
126	765	439
127	771	433
128	776	427
129	784	422
130	790	416
131	796	410
132	802	404
133	807	397
134	811	390
135	814	383
136	817	376
137	820	368
138	823	361
139	829	355
140	835	349
141	840	343
142	847	337
143	870	338
144	883	335
145	886	327
146	888	320
147	891	313
148	893	305
149	896	298
150	898	291
151	901	284
152	905	278
153	910	271
154	914	265
155	919	259
156	922	252
157	925	246
158	928	239
159	931	232
160	934	226
161	936	219
162	939	213
163	942	206
164	945	200
165	947	194
166	950	187
167	954	181
168	959	175
169	963	170
170	966	163
171	969	157
172	972	151
173	975	145
174	978	139
175	982	133
176	984	127
177	989	122
178	993	116
179	998	110
180	1001	105
181	1004	99
182	1007	93
183	1009	87
184	1012	82
185	1014	76
186	1017	70
187	1022	65
188	1025	59
189	1028	54
190	1030	48
191	1033	43
192	1037	37
193	1040	32
194	1042	26
195	1045	21
196	1047	15
197	1050	10
198	1053	5
199	1055	0
